scenario,mu,nu,H,avg_vault_balance,vault_balance_std,avg_deficit,deficit_std,time_underfunded_pct,time_overfunded_pct,max_deficit,max_surplus,avg_fee,fee_std,fee_cv,fee_95th_percentile,fee_99th_percentile,fee_volatility,l1_tracking_error,response_lag,overpayment_ratio,vault_utilization,insolvency_probability,insolvency_duration,fee_shock_frequency,var_95_deficit,deficit_correction_efficiency,l1_sensitivity,demand_elasticity_realized
Recent_Low_Fees,0.0,0.2,12,999.9999952804201,5.951641162641481e-06,4.719579804941532e-06,5.951641162641481e-06,0.0,0.0,1.502795032592985e-05,6.265682827688579e-06,2.7843145569160123e-08,1.3774750473905958e-08,0.49472680590957624,5.329585947935248e-08,6.407226562500002e-08,1.3901162117164254e-08,1.0354110960657106,17,0.987813201653122,0.99999999528042,0.0,0,0.0,1.263035496208431e-05,1.0,4.4038006070229e-11,1.2629722546898433e-06
July_2022_Spike,0.0,0.2,18,999.9985794693717,0.0018339217588192174,0.0014205306281479578,0.0018339217588192174,0.0,0.0,0.0077166350038169185,0.0019874179324688157,4.101680378657875e-06,4.239116358117584e-06,1.0335072377103844,1.0316515177286249e-05,2.0079224377358675e-05,3.7212140765420823e-06,1.157072721172954,17,0.9611936211721605,0.9999985794693718,0.0,0,0.0,0.0055392662290273615,1.0,1.1830388638499412e-06,6.439749761492937e-06
May_2022_UST_Crash,0.0,0.2,18,999.9885267891575,0.01690760542338591,0.01147321084259829,0.01690760542338591,0.0,0.0,0.07593433905583424,0.011392401044304279,2.198603555039002e-05,3.341703000193624e-05,1.5199206753462855,9.316518863853011e-05,0.0001511348218931781,2.8244931239582533e-05,1.1463133591002228,21,0.9821319587536996,0.9999885267891575,0.0,0,0.0,0.043629120828995685,1.0,7.503148024900355e-06,8.359013345852474e-05
May_2023_PEPE_Crisis,0.0,0.2,18,999.9921493587157,0.011629587803000368,0.007850641284323388,0.011629587803000368,0.0,0.0,0.049859646786330813,0.021941179371083308,2.318063308489879e-05,2.6038597338414335e-05,1.1232910353676833,6.623307998352137e-05,0.00011278855171338864,2.134305088779524e-05,1.1875848251744556,22,0.9795538570455384,0.9999921493587156,0.0,0,0.0,0.03267606539096155,1.0,1.2393984049204432e-05,7.060779090328029e-07
Recent_Low_Fees,0.0,0.2,18,999.9999939829628,5.907473717379382e-06,6.017037231345057e-06,5.907473717379383e-06,0.0,0.0,1.645013219331304e-05,4.093409415872884e-06,2.8022654507353754e-08,1.3735907195059839e-08,0.4901715214543732,5.4060974121093764e-08,5.982520194168453e-08,1.3991395404807557e-08,1.0684202102286962,39,0.9834821618314842,0.9999999939829628,0.0,0,0.0,1.4065552443298655e-05,1.0,3.167643940348752e-10,2.4139024765448476e-06
July_2022_Spike,0.0,0.2,36,999.9981836350338,0.0015391723272869147,0.001816364966356332,0.0015391723272869147,0.0,0.0,0.007697076466229191,0.0002532579546823399,4.1583189392539615e-06,3.6521529800172465e-06,0.8782763018828167,1.1660667972471906e-05,1.485281339435571e-05,3.3579433100198136e-06,1.1933373265267835,17,0.9555354876077982,0.9999981836350338,0.0,0,0.0,0.005525604109527647,1.0,1.9007169985849625e-06,0.00018937889927320037
May_2022_UST_Crash,0.0,0.2,36,999.9897005624189,0.012215941113503598,0.010299437581160191,0.0122159411135036,0.0,0.0,0.07316845749062395,0.003353125288526826,2.2059731199666496e-05,2.6578246852994726e-05,1.204830947958085,5.521030115822606e-05,0.00011803519266161804,1.9920488077709033e-05,1.1873424993095707,21,0.9773196003802428,0.9999897005624189,0.0,0,0.0,0.03293983931443441,1.0,1.252734340871977e-05,1.2483718705078472e-07
May_2023_PEPE_Crisis,0.0,0.2,36,999.9892161832697,0.00949036494654914,0.010783816730178728,0.00949036494654914,0.0,0.0,0.05019418199606207,0.0012880821402632137,2.323118356335157e-05,2.0257006800059626e-05,0.8719748068288752,5.841437350831314e-05,0.00010716431770483377,1.8395721638029534e-05,1.2564827499925106,22,0.9761670591643512,0.9999892161832697,0.0,0,0.0,0.03112318899975991,1.0,2.4646201624544952e-05,1.990221167062412e-06
Recent_Low_Fees,0.0,0.2,36,999.9999902888267,5.798493619043769e-06,9.711173410096308e-06,5.798493619043769e-06,0.0,0.0,1.962975443348114e-05,-4.465304073164589e-07,2.738629518703058e-08,1.2567225769777277e-08,0.45888739911518883,5.062500000000001e-08,5.4258527889317045e-08,1.2822475148703357e-08,1.1153827561371805,0,0.9746135752525104,0.9999999902888267,0.0,0,0.0,1.7626348142130152e-05,1.0,1.3899140381317464e-09,4.5867742727422615e-05
July_2022_Spike,0.0,0.2,72,999.9977140032782,0.0013769390075249648,0.002285996721645347,0.0013769390075249648,0.0,0.0,0.007709536970992303,-0.0004778754064318491,4.13661622054054e-06,2.2846069063140108e-06,0.5522888236452055,7.055975258043959e-06,1.3217599575666053e-05,1.804654331849251e-06,1.3314073806840923,17,0.9519723218538866,0.9999977140032782,0.0,0,0.0,0.005544769721103648,1.0,5.988518360213167e-06,1.2654395275970402e-07
May_2022_UST_Crash,0.0,0.2,72,999.9867769488509,0.012247513246799967,0.013223051149136609,0.012247513246799967,0.0,0.0,0.07500407755367178,-0.0032326667983397783,2.2223206172570058e-05,1.9000170405846966e-05,0.8549698121101328,5.034109192017696e-05,0.00010426420333440784,1.2671458875395363e-05,1.272834701671415,0,0.9734998921874053,0.9999867769488509,0.0,0,0.0,0.03745492175182789,1.0,2.7661774720612344e-05,1.263040172931317e-05
May_2023_PEPE_Crisis,0.0,0.2,72,999.9865999146159,0.008693751816803099,0.01340008538400923,0.008693751816803099,0.0,0.0,0.05010915384798409,-0.003778095879169996,2.2988373743577872e-05,1.2991218432299603e-05,0.5651212468184655,3.901464570538513e-05,7.48942256583499e-05,1.0063635111619642e-05,1.4094867267155375,21,0.9717557721503947,0.9999865999146159,0.0,0,0.0,0.033615324326058196,1.0,6.432349154259783e-05,5.196066527101837e-06
Recent_Low_Fees,0.0,0.2,72,999.9999869631397,5.5421733764756e-06,1.3036860320880805e-05,5.5421733764756e-06,0.0,0.0,2.323427270312095e-05,-3.5487084915075684e-06,2.744386870618652e-08,9.051816331119577e-09,0.32983018640805095,4.2413857844141795e-08,4.625979387166505e-08,9.01944784593261e-09,1.2132201895538666,0,0.9704661249286437,0.9999999869631397,0.0,0,0.0,2.1082527143789773e-05,1.0,6.317518268881006e-09,6.0040600776412276e-05
July_2022_Spike,0.0,0.2,144,999.996533763929,0.0011817899848428647,0.0034662360708784946,0.0011817899848428645,0.0,0.0,0.007686113435056541,-0.0015491971022356665,4.0888026814953165e-06,1.571090319953371e-06,0.3842421467447305,6.1561722342970726e-06,8.484379302345238e-06,1.0786438870032052e-06,1.512768334769345,0,0.9387151222970779,0.999996533763929,0.0,0,0.0,0.00563247833960645,1.0,1.5254083471437022e-05,6.20708430547437e-06
May_2022_UST_Crash,0.0,0.2,144,999.9805624360084,0.012302022396804876,0.019437563991491515,0.012302022396804876,0.0,0.0,0.08019225552141052,-0.008780571051374864,2.200048296668007e-05,1.3860629439400659e-05,0.6300147801479044,4.573418093717086e-05,7.942142957025067e-05,8.285438625153854e-06,1.387325080671986,0,0.961922610583551,0.9999805624360084,0.0,0,0.0,0.041031414278478416,1.0,5.7734250948911926e-05,1.4664348550722907e-05
May_2023_PEPE_Crisis,0.0,0.2,144,999.9802090922948,0.007252108094783953,0.019790907705154268,0.007252108094783953,0.0,0.0,0.04990886358757507,-0.010138439954289424,2.2563611313938663e-05,9.295524965919483e-06,0.4119697346575535,3.368592486933626e-05,4.990120288703562e-05,6.176140803243524e-06,1.5860699442466004,0,0.9595325682618321,0.9999802090922948,0.0,0,0.0,0.03753554387682811,1.0,0.00013493434635000493,1.4838987889858444e-05
